1999/07/30,30Jul1999,1.0694
1999/08/02,02Aug1999,1.0665
1999/08/03,03Aug1999,1.0645
1999/08/04,04Aug1999,1.0761
1999/08/05,05Aug1999,1.0791
1999/08/06,06Aug1999,1.0740
1999/08/09,09Aug1999,1.0705
1999/08/10,10Aug1999,1.0737
1999/08/11,11Aug1999,1.0668
1999/08/12,12Aug1999,1.0638
1999/08/13,13Aug1999,1.0667
1999/08/16,16Aug1999,1.0553
1999/08/17,17Aug1999,1.0527
1999/08/18,18Aug1999,1.0517
1999/08/19,19Aug1999,1.0517
1999/08/20,20Aug1999,1.0667
1999/08/23,23Aug1999,1.0606
1999/08/24,24Aug1999,1.0512
1999/08/25,25Aug1999,1.0433
1999/08/26,26Aug1999,1.0452
1999/08/27,27Aug1999,1.0450
1999/08/30,30Aug1999,1.0454
1999/08/31,31Aug1999,1.0573
1999/09/01,01Sep1999,1.0613
1999/09/02,02Sep1999,1.0662
1999/09/03,03Sep1999,1.0682
1999/09/06,06Sep1999,1.0594
1999/09/07,07Sep1999,1.0565
1999/09/08,08Sep1999,1.0613
1999/09/09,09Sep1999,1.0592
1999/09/10,10Sep1999,1.0520
1999/09/13,13Sep1999,1.0342
1999/09/14,14Sep1999,1.0362
1999/09/15,15Sep1999,1.0369
1999/09/16,16Sep1999,1.0372
1999/09/17,17Sep1999,1.0397
1999/09/20,20Sep1999,1.0406
1999/09/21,21Sep1999,1.0388
1999/09/22,22Sep1999,1.0509
1999/09/23,23Sep1999,1.0430
1999/09/24,24Sep1999,1.0476
1999/09/27,27Sep1999,1.0414
1999/09/28,28Sep1999,1.0483
1999/09/29,29Sep1999,1.0563
1999/09/30,30Sep1999,1.0665
1999/10/01,01Oct1999,1.0728
1999/10/04,04Oct1999,1.0719
1999/10/05,05Oct1999,1.0686
1999/10/06,06Oct1999,1.0737
1999/10/07,07Oct1999,1.0729
1999/10/08,08Oct1999,1.0657
1999/10/11,11Oct1999,1.0631
1999/10/12,12Oct1999,1.0668
1999/10/13,13Oct1999,1.0778
1999/10/14,14Oct1999,1.0758
1999/10/15,15Oct1999,1.0869
1999/10/18,18Oct1999,1.0868
1999/10/19,19Oct1999,1.0818
1999/10/20,20Oct1999,1.0777
1999/10/21,21Oct1999,1.0797
1999/10/22,22Oct1999,1.0758
1999/10/25,25Oct1999,1.0683
1999/10/26,26Oct1999,1.0633
1999/10/27,27Oct1999,1.0552
1999/10/28,28Oct1999,1.0534
1999/10/29,29Oct1999,1.0453
1999/11/01,01Nov1999,1.0572
1999/11/02,02Nov1999,1.0507
1999/11/03,03Nov1999,1.0491
1999/11/04,04Nov1999,1.0504
1999/11/05,05Nov1999,1.0408
1999/11/08,08Nov1999,1.0405
1999/11/09,09Nov1999,1.0424
1999/11/10,10Nov1999,1.0402
1999/11/11,11Nov1999,1.0406
1999/11/12,12Nov1999,1.0308
1999/11/15,15Nov1999,1.0301
1999/11/16,16Nov1999,1.0336
1999/11/17,17Nov1999,1.0408
1999/11/18,18Nov1999,1.0380
1999/11/19,19Nov1999,1.0279
1999/11/22,22Nov1999,1.0311
1999/11/23,23Nov1999,1.0315
1999/11/24,24Nov1999,1.0215
1999/11/25,25Nov1999,1.0194
1999/11/26,26Nov1999,1.0101
1999/11/29,29Nov1999,1.0077
1999/11/30,30Nov1999,1.0097
1999/12/01,01Dec1999,1.0091
1999/12/02,02Dec1999,1.0057
1999/12/03,03Dec1999,1.0015
1999/12/06,06Dec1999,1.0182
1999/12/07,07Dec1999,1.0239
1999/12/08,08Dec1999,1.0236
1999/12/09,09Dec1999,1.0175
1999/12/10,10Dec1999,1.0141
1999/12/13,13Dec1999,1.0128
1999/12/14,14Dec1999,1.0038
1999/12/15,15Dec1999,1.0021
1999/12/16,16Dec1999,1.0146
1999/12/17,17Dec1999,1.0128
1999/12/20,20Dec1999,1.0096
1999/12/21,21Dec1999,1.0084
1999/12/22,22Dec1999,1.0074
1999/12/23,23Dec1999,1.0089
1999/12/24,24Dec1999,1.0142
1999/12/27,27Dec1999,1.0134
1999/12/28,28Dec1999,1.0089
1999/12/29,29Dec1999,1.0072
1999/12/30,30Dec1999,1.0046
1999/12/31,31Dec1999,1.0046
2000/01/03,03Jan2000,1.0090
2000/01/04,04Jan2000,1.0305
2000/01/05,05Jan2000,1.0368
2000/01/06,06Jan2000,1.0388
2000/01/07,07Jan2000,1.0284
2000/01/10,10Jan2000,1.0229
2000/01/11,11Jan2000,1.0256
2000/01/12,12Jan2000,1.0308
2000/01/13,13Jan2000,1.0276
2000/01/14,14Jan2000,1.0225
2000/01/17,17Jan2000,1.0094
2000/01/18,18Jan2000,1.0093
2000/01/19,19Jan2000,1.0105
2000/01/20,20Jan2000,1.0089
2000/01/21,21Jan2000,1.0097
2000/01/24,24Jan2000,1.0027
2000/01/25,25Jan2000,1.0008
2000/01/26,26Jan2000,1.0019
2000/01/27,27Jan2000,0.9976
2000/01/28,28Jan2000,0.9848
2000/01/31,31Jan2000,0.9791
2000/02/01,01Feb2000,0.9710
2000/02/02,02Feb2000,0.9717
2000/02/03,03Feb2000,0.9748
2000/02/04,04Feb2000,0.9835
2000/02/07,07Feb2000,0.9767
2000/02/08,08Feb2000,0.9903
2000/02/09,09Feb2000,0.9934
2000/02/10,10Feb2000,0.9868
2000/02/11,11Feb2000,0.9801
2000/02/14,14Feb2000,0.9867
2000/02/15,15Feb2000,0.9778
2000/02/16,16Feb2000,0.9804
2000/02/17,17Feb2000,0.9919
2000/02/18,18Feb2000,0.9857
2000/02/21,21Feb2000,0.9857
2000/02/22,22Feb2000,1.0022
2000/02/23,23Feb2000,1.0068
2000/02/24,24Feb2000,0.9898
2000/02/25,25Feb2000,0.9813
2000/02/28,28Feb2000,0.9639
2000/02/29,29Feb2000,0.9714
2000/03/01,01Mar2000,0.9667
2000/03/02,02Mar2000,0.9725
2000/03/03,03Mar2000,0.9659
2000/03/06,06Mar2000,0.9640
2000/03/07,07Mar2000,0.9593
2000/03/08,08Mar2000,0.9543
2000/03/09,09Mar2000,0.9616
2000/03/10,10Mar2000,0.9613
2000/03/13,13Mar2000,0.9716
2000/03/14,14Mar2000,0.9620
2000/03/15,15Mar2000,0.9647
2000/03/16,16Mar2000,0.9663
2000/03/17,17Mar2000,0.9672
2000/03/20,20Mar2000,0.9715
2000/03/21,21Mar2000,0.9701
2000/03/22,22Mar2000,0.9603
2000/03/23,23Mar2000,0.9656
2000/03/24,24Mar2000,0.9715
2000/03/27,27Mar2000,0.9712
2000/03/28,28Mar2000,0.9647
2000/03/29,29Mar2000,0.9568
2000/03/30,30Mar2000,0.9555
2000/03/31,31Mar2000,0.9553
2000/04/03,03Apr2000,0.9564
2000/04/04,04Apr2000,0.9538
2000/04/05,05Apr2000,0.9673
2000/04/06,06Apr2000,0.9625
2000/04/07,07Apr2000,0.9564
2000/04/10,10Apr2000,0.9590
2000/04/11,11Apr2000,0.9594
2000/04/12,12Apr2000,0.9576
2000/04/13,13Apr2000,0.9537
2000/04/14,14Apr2000,0.9540
2000/04/17,17Apr2000,0.9573
2000/04/18,18Apr2000,0.9497
2000/04/19,19Apr2000,0.9461
2000/04/20,20Apr2000,0.9376
2000/04/21,21Apr2000,0.9376
2000/04/24,24Apr2000,0.9376
2000/04/25,25Apr2000,0.9302
2000/04/26,26Apr2000,0.9193
2000/04/27,27Apr2000,0.9163
2000/04/28,28Apr2000,0.9085
2000/05/01,01May2000,0.9085
2000/05/02,02May2000,0.9116
2000/05/03,03May2000,0.8913
2000/05/04,04May2000,0.8947
2000/05/05,05May2000,0.8984
2000/05/08,08May2000,0.8952
2000/05/09,09May2000,0.8978
2000/05/10,10May2000,0.9107
2000/05/11,11May2000,0.9079
2000/05/12,12May2000,0.9029
2000/05/15,15May2000,0.9147
2000/05/16,16May2000,0.9065
2000/05/17,17May2000,0.8922
2000/05/18,18May2000,0.8942
2000/05/19,19May2000,0.8875
2000/05/22,22May2000,0.9000
2000/05/23,23May2000,0.9111
2000/05/24,24May2000,0.9098
2000/05/25,25May2000,0.8981
2000/05/26,26May2000,0.9143
2000/05/29,29May2000,0.9262
2000/05/30,30May2000,0.9359
2000/05/31,31May2000,0.9303
2000/06/01,01Jun2000,0.9330
2000/06/02,02Jun2000,0.9355
2000/06/05,05Jun2000,0.9433
2000/06/06,06Jun2000,0.9485
2000/06/07,07Jun2000,0.9554
2000/06/08,08Jun2000,0.9668
2000/06/09,09Jun2000,0.9490
2000/06/12,12Jun2000,0.9527
2000/06/13,13Jun2000,0.9583
2000/06/14,14Jun2000,0.9636
2000/06/15,15Jun2000,0.9524
2000/06/16,16Jun2000,0.9565
2000/06/19,19Jun2000,0.9640
2000/06/20,20Jun2000,0.9538
2000/06/21,21Jun2000,0.9470
2000/06/22,22Jun2000,0.9405
2000/06/23,23Jun2000,0.9413
2000/06/26,26Jun2000,0.9327
2000/06/27,27Jun2000,0.9401
2000/06/28,28Jun2000,0.9415
2000/06/29,29Jun2000,0.9504
2000/06/30,30Jun2000,0.9556
2000/07/03,03Jul2000,0.9493
2000/07/04,04Jul2000,0.9487
2000/07/05,05Jul2000,0.9537
2000/07/06,06Jul2000,0.9542
2000/07/07,07Jul2000,0.9483
2000/07/10,10Jul2000,0.9523
2000/07/11,11Jul2000,0.9527
2000/07/12,12Jul2000,0.9499
2000/07/13,13Jul2000,0.9349
2000/07/14,14Jul2000,0.9344
2000/07/17,17Jul2000,0.9352
2000/07/18,18Jul2000,0.9353
2000/07/19,19Jul2000,0.9216
2000/07/20,20Jul2000,0.9220
2000/07/21,21Jul2000,0.9363
2000/07/24,24Jul2000,0.9332
2000/07/25,25Jul2000,0.9410
2000/07/26,26Jul2000,0.9390
2000/07/27,27Jul2000,0.9389
2000/07/28,28Jul2000,0.9276
2000/07/31,31Jul2000,0.9243
2000/08/01,01Aug2000,0.9264
2000/08/02,02Aug2000,0.9142
2000/08/03,03Aug2000,0.9028
2000/08/04,04Aug2000,0.9031
2000/08/07,07Aug2000,0.9084
2000/08/08,08Aug2000,0.9047
2000/08/09,09Aug2000,0.8973
2000/08/10,10Aug2000,0.9031
2000/08/11,11Aug2000,0.9132
